"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.681510099356366E9,"2023-04-14 18:08:19.356 UTC-04:00"
"PAUSE",3.060913395829266E1,1.681510129965129E9,"2023-04-14 18:08:49.965 UTC-04:00"
