Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.021941208280623,-1.26938490986824,0.0897226005792618,1.43440795361996,1.91752819323839
0.0318722083466128,-0.817945947647095,0.0269691127538681,1.34952100038528,1.57828065843687
0.0418042083038017,-0.133561515212059,0.0736854422092438,1.17358880639076,1.18346056513304
0.051736208377406,0.609479845762253,0.235898021757603,1.22119157373905,1.38507126850238
0.0616672083269805,0.865012232959271,0.559886393845081,1.8770626437664,2.14128071625496
0.0715992082841694,0.332994253635407,0.757719626426697,3.19789778888226,3.30326724219589
0.0815305833239108,-0.591647299826145,0.580825565457344,4.40161203503609,4.47901700955187
0.0914615833899006,-1.53379307806492,-0.0280248275399208,4.72542557537556,4.96819418558614
0.10139358334709,-2.16510350346565,-0.939074528217316,4.36621357619763,4.96320009099354
0.111324583296664,-2.68997384637594,-1.66082149922848,3.89695697844028,5.01802361874678
0.121256583370268,-3.03110742419958,-1.86989278793335,3.56777627885342,5.04114459536246
0.131187583319843,-2.92003722399473,-1.70218119442463,3.38312880992889,4.78221692865753
0.141119583277032,-2.34696652829647,-1.33745322436094,3.22019205272198,4.20317378521413
0.151051583350636,-1.28951570391655,-0.847362704873085,2.80745405673981,3.2035406326379
0.160982583300211,-0.174520091414452,-0.292528305351734,2.02806464910507,2.05647180692781
0.170914583373815,0.728383268415928,0.237597514986992,1.19124213516712,1.4163518593322
0.180845583323389,1.42487962335348,0.566013106405735,0.60457695543766,1.64807951043549
0.190777583280578,1.91780896604061,0.584201163053513,0.522450472712517,2.07177139800133
0.200709583354183,2.26898192077875,0.377128745019436,0.892200323939323,2.46708866179921
0.210640583303757,2.47498488306999,0.0410752281546593,1.41075070381165,2.8491147562178
0.220572583377361,2.54403669923544,-0.300517356097698,1.6711886125803,3.05864427274418
0.230503583326936,2.49675143569708,-0.597068545818329,1.58686299204826,3.01801138758511
0.240435583284125,2.34579211503267,-0.745755053758621,1.18277185857296,2.73090470661063
0.250367583357729,2.11253586530685,-0.699540123045445,0.483738396763802,2.27731574500811
0.260298583307303,1.86538633882999,-0.474514998793602,-0.392106095552444,1.96432631386515
0.270230583380908,1.59864951699972,-0.17805064022541,-1.25258644402027,2.03871408207023
0.280161583330482,1.3018357872963,0.0526284492015839,-2.0861099588871,2.45955299420823
0.290093583287671,1.19655052989721,0.258133228719234,-2.76991317808628,3.02833038958803
0.300025583361275,1.08364371925592,0.349999710917473,-3.07768254339695,3.28160225284166
0.30995658331085,1.00551263898611,0.360262451469898,-2.87604949772358,3.06798067374225
