"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.945092916E-1,-1.504101209E-1,-6.251522841E-1,1.985202219E0,2.086735833E0
6.044402916E-1,-5.070937841E-1,-9.661073025E-1,2.813479612E0,3.017643941E0
6.143722917E-1,-8.732809268E-1,-1.150508019E0,3.392035874E0,3.686759505E0
6.243042917E-1,-1.153150303E0,-1.168313083E0,3.537793511E0,3.900088974E0
6.342362916E-1,-1.361195113E0,-1.015831513E0,3.297995689E0,3.709655154E0
6.441682916E-1,-1.446555106E0,-7.364808581E-1,2.853277516E0,3.282699851E0
6.540992917E-1,-1.532742041E0,-4.904854258E-1,2.436102068E0,2.919669057E0
6.640312917E-1,-1.668724742E0,-4.141354074E-1,2.056342953E0,2.680428463E0
6.739632916E-1,-1.790070547E0,-4.140287688E-1,1.709856250E0,2.509856725E0
6.838952916E-1,-1.832508322E0,-4.227235054E-1,1.556752755E0,2.441364588E0
6.938272917E-1,-1.751265061E0,-4.258919654E-1,1.635641634E0,2.433852263E0
7.037592917E-1,-1.722225011E0,-4.148504488E-1,1.894317192E0,2.593568489E0
7.136902916E-1,-1.671031469E0,-4.500745875E-1,2.218220780E0,2.813435041E0
7.236222916E-1,-1.639810992E0,-6.231192072E-1,2.553519421E0,3.098018571E0
7.335542917E-1,-1.466551121E0,-8.875931565E-1,3.055706953E0,3.503703581E0
7.434862917E-1,-1.189960133E0,-1.092596537E0,3.686442012E0,4.024876026E0
7.534182916E-1,-8.518331936E-1,-1.149409473E0,4.216600869E0,4.452694108E0
7.633492500E-1,-5.232368501E-1,-1.122857559E0,4.502382365E0,4.669693016E0
7.732812500E-1,-1.778179941E-1,-1.000985652E0,4.574594309E0,4.686203645E0
7.832132500E-1,1.573169252E-1,-8.760419089E-1,4.754873323E0,4.837459908E0
7.931452500E-1,3.871700954E-1,-9.188156071E-1,4.955843294E0,5.055146443E0
8.030772500E-1,4.400325794E-1,-1.077655586E0,5.000303768E0,5.134005065E0
8.130092500E-1,3.294840970E-1,-1.315865597E0,4.842429530E0,5.028835431E0
8.229402500E-1,2.252831326E-1,-1.433424744E0,4.469906929E0,4.699524119E0
8.328722500E-1,1.320858973E-1,-1.425508784E0,3.843236269E0,4.101217746E0
8.428042500E-1,6.426930539E-2,-1.315470032E0,3.018028665E0,3.292884597E0
8.527362500E-1,4.526643924E-2,-1.107907837E0,1.997829282E0,2.284913711E0
8.626682500E-1,4.632727034E-2,-8.017079374E-1,8.961010015E-1,1.203278371E0
8.725992500E-1,-9.028174058E-3,-5.231762949E-1,-2.974303186E-1,6.018801690E-1
8.825312500E-1,-6.707808852E-2,-3.040059877E-1,-1.535323294E0,1.566568456E0
8.924632500E-1,-1.595519502E-1,-1.032599646E-1,-2.717200529E0,2.723838865E0
9.023952500E-1,-2.331447872E-1,4.044124380E-2,-3.724547732E0,3.732056778E0
9.123272500E-1,-2.119398596E-1,2.530571512E-1,-4.577886291E0,4.589771162E0
9.222582500E-1,-5.407040913E-2,4.380603135E-1,-5.404092600E0,5.422087908E0
9.321902500E-1,1.867396027E-1,5.734849344E-1,-6.073504652E0,6.103377377E0
9.421222500E-1,8.911357652E-3,7.857530786E-1,-6.680089542E0,6.726149240E0
9.520542500E-1,-1.550331489E-1,9.352544691E-1,-7.244903092E0,7.306665245E0
9.619862500E-1,-3.582426770E-1,9.551504975E-1,-7.763092114E0,7.829830742E0
9.719182500E-1,-5.795632978E-1,8.603366531E-1,-8.179972277E0,8.245484778E0
9.818492500E-1,-7.541611572E-1,7.026207286E-1,-8.509541817E0,8.571740597E0
9.917812500E-1,-9.420759040E-1,5.152178324E-1,-8.705765603E0,8.771733646E0
1.001713250E0,-1.132671892E0,3.467020275E-1,-8.858801270E0,8.937645543E0
1.011645250E0,-6.998652282E-1,2.975720405E-1,-8.999161343E0,9.031238306E0
1.021577250E0,-3.166572793E-1,3.952152063E-1,-9.132838633E0,9.146868775E0
1.031508250E0,-2.498702176E-1,5.518004255E-1,-9.235232150E0,9.255075996E0
1.041440250E0,-2.413470055E-1,6.837767605E-1,-8.939443145E0,8.968803865E0
1.051372250E0,-8.366203465E-2,6.117523661E-1,-8.042110720E0,8.065778643E0
1.061304250E0,-1.062715365E-1,-8.245984711E-2,-6.429573188E0,6.430980069E0
1.071236250E0,-2.349446332E-1,-1.015160545E0,-3.900873443E0,4.037643314E0
1.081168250E0,2.766727030E-2,-1.189192394E0,-9.450275785E-1,1.519217282E0
1.091099250E0,7.422727445E-1,-6.484622093E-1,2.419992989E0,2.613013228E0
1.101031250E0,1.624822824E0,-2.204917231E-1,5.693436804E0,5.924853454E0
1.110963250E0,2.639619379E0,2.265383106E-1,8.143796723E0,8.563897194E0
1.120895250E0,3.623002646E0,6.177758022E-1,1.014709666E1,1.079219003E1
1.130827250E0,4.193940277E0,3.147991072E-1,1.223795105E1,1.294046674E1
1.140758250E0,4.085682296E0,-7.933845721E-1,1.451689399E1,1.510173732E1
1.150690250E0,3.664678968E0,-2.710685561E0,1.672478391E1,1.733482290E1
1.160622250E0,3.017952651E0,-4.640097157E0,1.797659326E1,1.880947754E1
