0,1,2,3,4
0.004959458369,0.5307205918,0.3733768791,-0.1808409315,0.673630524
0.01489145833,0.5352926028,0.2847553092,-0.1091417885,0.6160646774
0.02482245833,0.5525016163,0.1793878984,-0.06882114351,0.5849567539
0.03475445835,0.5992408961,0.08588565767,-0.0007250547409,0.6053647854
0.04468645836,0.672729616,-0.02805669487,-0.02831397235,0.6739094861
0.05461845838,0.6393556094,-0.1579338795,-0.07315393031,0.6626237266
0.06455045834,0.4815946613,-0.3184259158,0.009405246377,0.5774226705
0.07448245835,0.389554261,-0.4596993238,0.2612319607,0.6567481464
0.08441345836,0.3924109548,-0.5602071136,0.5027406782,0.8488619187
0.09434545838,0.4477340202,-0.6398631477,0.4949235356,0.9245755279
0.1042774583,0.4718747617,-0.6079186392,0.3183972645,0.8328311237
0.1142094583,0.4581832869,-0.5290981722,-0.01168215215,0.7000094806
0.1241414584,0.3665695872,-0.4679830742,-0.3335362905,0.6816361765
0.1340734584,0.2973409658,-0.4211445379,-0.5191959125,0.7316684818
0.1440054583,0.1970973788,-0.4381985271,-0.7214183575,0.8667812714
0.1539364583,-0.01726163842,-0.3303144747,-0.8226131952,0.8866217261
0.1638684584,-0.1848838426,-0.2018996787,-0.8219454432,0.866337017
0.1738004584,-0.2731949253,-0.178672784,-0.7204629225,0.7909653934
0.1837324583,-0.2863779116,-0.2609857929,-0.5160863632,0.6453456644
0.1936644583,-0.2951012995,-0.3230475551,-0.3056029719,0.5337018608
0.2035964584,-0.3266244065,-0.3300507653,-0.1467855781,0.4869938568
0.2135274584,-0.3447496422,-0.2461689484,-0.1553850782,0.4512161228
0.2234594583,-0.375533186,-0.1505014837,-0.2428360355,0.4718529544
0.2333917917,-0.4664649543,-0.09824433267,-0.2556852919,0.540940358
0.2433237917,-0.5283610941,-0.05538190305,-0.3329159009,0.6269494382
0.2532557917,-0.5892435826,-0.07496598244,-0.4892072976,0.7695139233
0.2631877917,-0.7212001833,-0.02787192285,-0.6012680161,0.939377334
0.2731187917,-0.8298344334,0.06633958519,-0.6649196362,1.065431485
0.2830507917,-1.001447801,0.1095212728,-0.5558252102,1.150579972
0.2929827917,-1.066529723,-0.1240147662,-0.4140869486,1.150796817
0.3029147917,-0.9762145071,-0.6985323554,-0.5720038712,1.329710737
0.3128467917,-1.485893418,-0.982165584,0.06659861684,1.782403956
0.3227787917,-1.533506272,-0.7370292538,0.3151795417,1.730373298
0.3327097917,-1.244110759,-0.470896157,0.3023864186,1.364181922
0.3426417917,-0.8497081693,-0.2286553681,0.3883802497,0.9618349487
0.3525737917,0.01555644415,0.3569731003,1.422204815,1.466403196
0.3625057917,0.591660383,0.6421207577,1.10579151,1.408955621
0.3724377917,0.5449469406,0.430493651,0.1520498264,0.7109227112
0.3823697917,0.3435254545,-0.01230078757,-0.403073718,0.5297447209
0.3923007917,0.09715883363,-0.3595406127,-0.6424324143,0.742582452
0.4022327917,-0.09121597946,-0.4609857112,-0.7609613228,0.8943658735
0.4121647917,-0.1797838829,-0.5359873617,-0.7953470439,0.9757979384
0.4220967917,0.05082151338,-0.7174270481,-0.7791625357,1.060367225
0.4320287917,0.2130344218,-0.5581529868,-0.898783704,1.079226838
0.4419607917,-0.08883429889,-0.3502102107,-1.151674612,1.207018283
0.4518927917,-0.4242118411,-0.299092682,-1.298630344,1.398518104
0.4618237917,-0.4318968001,-0.2508788806,-1.496475563,1.577629288
0.4717557917,-0.1325007207,-0.2672613171,-1.674237936,1.700605103
0.4816877917,0.2540323206,-0.4132917273,-1.736877987,1.803354545
0.4916197917,0.5267763159,-0.6789526615,-1.641487681,1.85282266
0.5015517917,0.6620218293,-0.8220425069,-1.670053083,1.975627517
0.5114837917,0.704087795,-0.8324751091,-2.021301175,2.296608994
0.5214147917,0.5575845643,-0.8411605632,-2.714021398,2.89557659
0.5313467917,0.3172375423,-0.7786476883,-3.523638572,3.62256272
0.5412787917,0.6029296486,-0.778324922,-4.114782134,4.230927304
0.5512107917,0.7118592563,-0.8030258998,-4.508396811,4.634353893
0.5611427917,0.33208651,-0.7258891386,-4.661980362,4.729826359
0.5710747917,-0.3943408648,-0.6396605417,-4.64542631,4.705810868
0.5810057917,-0.779197619,-0.8737275079,-4.673489437,4.81788877
0.5909377917,-0.7844374551,-1.318676061,-4.886583025,5.121810455
0.6008697917,-0.6095991655,-1.691953245,-5.030683562,5.342480138
0.6108017917,-0.5082098714,-1.673920432,-5.130657501,5.420694907
0.6207337917,-0.5315490326,-1.410608324,-4.822366564,5.052482508
0.6306657917,-0.7921131682,-1.436613231,-3.687024395,4.035523477
0.6405977917,-0.9464140264,-1.446613724,-0.5790369022,1.823094762
