"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.681510296079174E9,"2023-04-14 18:11:36.079 UTC-04:00"
"PAUSE",3.060735145834042E1,1.681510326686155E9,"2023-04-14 18:12:06.686 UTC-04:00"
